Text,Person,Position,Link
"The paper’s China coverage should be objective, reasonable and impartial... We should let our readers see China from more angles and perspectives.",Jack Ma,Alibaba Founder,https://www.scmp.com/policies-and-standards
"The China editor urged us to attend more official briefings and stick closely to what officials said...I was quickly sacked for ""insubordination"" and refusing to buckle under to the China editor.",Jasper Becker,SCMP Former Beijing Bureau Chief,https://www.washingtonpost.com/archive/opinions/2002/05/04/why-i-was-fired-in-hong-kong/e0d5e772-4041-49be-b80b-3970b7e19640/
"Some have suggested that ownership by Alibaba will compromise the SCMP’s editorial independence. This criticism reflects a bias of its own, as if to say newspaper owners must espouse certain views, while those that hold opposing views are “unfit”.",Joseph Tsai,Alibaba Executive Vice Chairman,https://www.scmp.com/news/hong-kong/article/1890058/letter-readers-south-china-morning-post-alibabas-executive-vice
"By explicitly stating that its aim is to tell a positive story of China and running questionable stories, management undermines the very attributes that make The S.C.M.P. useful in the first place.",Yuen Chan,Journalist & Senior Lecturer at the Chinese University of Hong Kong,https://www.nytimes.com/2018/03/31/world/asia/south-china-morning-post-hong-kong-alibaba.html
"There is an immediate assumption that because Alibaba is a Chinese company that they are going to meddle in editorial. That has never been the case.....If the laws of this city and the judiciary that protects those laws change to the point where there is no longer press freedoms in this city, the South China Morning Post will change",Gary Liu,SCMP Chief Executive,https://www.theatlantic.com/international/archive/2020/08/scmp-hong-kong-china-media/614719/
"The SCMP, under its relatively new owner, China’s richest man Jack Ma, has decided to lend itself more than willingly to the propaganda efforts of the Chinese state as Beijing seeks a greater role in global affairs.",Stephen Vines,Hong Kong-Based Journalist,https://hongkongfp.com/2018/11/13/i-will-no-longer-write-south-china-morning-post/
